feature,importance
HTTPS,0.31594329538325355
AnchorURL,0.24708036010676673
WebsiteTraffic,0.07055516472446782
SubDomains,0.0655796213849274
LinksInScriptTags,0.045455615192475464
PrefixSuffix-,0.04365159791786382
ServerFormHandler,0.021108968634045346
LinksPointingToPage,0.02059607566050436
RequestURL,0.019707597195226665
DomainRegLen,0.017446491330341735
AgeofDomain,0.01567618745258427
UsingIP,0.013414912180614384
GoogleIndex,0.013392623874102673
DNSRecording,0.012165457632302127
PageRank,0.011596547406523177
LongURL,0.008898483037858722
HTTPSDomainURL,0.005614473832863198
ShortURL,0.005257873494731194
Symbol@,0.00510085585539638
InfoEmail,0.004998763314853749
WebsiteForwarding,0.004893915914666848
UsingPopupWindow,0.004887907020308333
StatsReport,0.004853911234030565
AbnormalURL,0.004755744857912501
Favicon,0.004075009104512275
Redirecting//,0.003643519235769674
StatusBarCust,0.003476445600108774
NonStdPort,0.0024778285640277703
IframeRedirection,0.0022046550412216093
DisableRightClick,0.0014900978157389617
